,year,state,district,winner,party,winning_ratio
0,1976,AK,0,Don Young,republican,0.2899860917941586
0,1976,AL,1,Jack Edwards,republican,0.3748083200244332
0,1976,AL,2,"William L. \\""Bill\""\"" Dickinson""",republican,0.4239528770697826
0,1976,AL,3,Bill Nichols,democrat,1.0
0,1976,AL,4,Tom Bevill,democrat,0.803824543662404
0,1976,AL,5,Ronnie G. Flippo,democrat,1.0
0,1976,AL,6,"John H. Buchanan, Jr.",republican,0.4296302717697542
0,1976,AL,7,Walter Flowers,democrat,1.0
0,1976,AR,1,Bill Alexander,democrat,0.6885627614319062
0,1976,AR,2,Jim Guy Tucker,democrat,0.8638476363224125
0,1976,AR,3,John Paul Hammerschmidt,republican,0.0
0,1976,AR,4,Ray Thornton,democrat,1.0
0,1976,AZ,1,John J. Rhodes,republican,0.41507029690353825
0,1976,AZ,2,Morris K. Udall,democrat,0.5964154561661015
0,1976,AZ,3,Bob Stump,republican,0.0
0,1976,AZ,4,Eldon Rudd,republican,0.4980629239879518
0,1976,CA,1,Harold T. (Bizz) Johnson,democrat,0.7394708224278395
0,1976,CA,2,Don H. Clausen,republican,0.42275567654519586
0,1976,CA,3,John E. Moss,democrat,0.7285696414982226
0,1976,CA,4,Robert L. Leggett,democrat,0.5021551010679502
0,1976,CA,5,John L. Burton,democrat,0.6184412890303659
0,1976,CA,6,Phillip Burton,democrat,0.7098201096412041
0,1976,CA,7,George Miller,democrat,0.7622779600574311
0,1976,CA,8,Ronald V. Dellums,democrat,0.6414878667757293
0,1976,CA,9,Fortney H. (Pete) Stark,democrat,0.7229464923449582
0,1976,CA,10,Don Edwards,democrat,0.7462153518123668
0,1976,CA,11,Leo J. Ryan,democrat,0.6328497586046703
0,1976,CA,12,"Paul N. \\""Pete\""\"" McCloskey, Jr.""",republican,0.32068509001448986
0,1976,CA,13,Norman Y. Mineta,democrat,0.6818381118933984
0,1976,CA,14,John J. McFall,democrat,0.7253808271406633
0,1976,CA,15,B. F. Sisk,democrat,0.7220383851753805
0,1976,CA,16,Leon E. Panetta,democrat,0.5341968779540636
0,1976,CA,17,John Krebs,democrat,0.656883819735977
0,1976,CA,18,William M. Ketchum,republican,0.35798056094125974
0,1976,CA,19,Robert J. Lagomarsino,republican,0.3562146555879807
0,1976,CA,20,"Barry Goldwater, Jr.",republican,0.3275485274969979
0,1976,CA,21,James C. Corman,democrat,0.6978435013807895
0,1976,CA,22,Carlos J. Moorhead,republican,0.3739144191324081
0,1976,CA,23,Anthony C. Beilenson,democrat,0.6017838960991094
0,1976,CA,24,Heny A. Waxman,democrat,0.6778074029566763
0,1976,CA,25,Edward R. Roybal,democrat,0.7657028123059852
0,1976,CA,26,John H. Rousselot,republican,0.34414018822213943
0,1976,CA,27,Robert K. Dornan,republican,0.45316324047879164
0,1976,CA,28,Yvonne Brathwaite Burke,democrat,0.8019592065213589
0,1976,CA,29,"Augustus F. \\""Gus\""\"" Hawkins""",democrat,0.8837704970706995
0,1976,CA,30,Georg E. Danielson,democrat,0.7438393097870046
0,1976,CA,31,Charles II. Wilson,democrat,1.0
0,1976,CA,32,Glenn M. Anderson,democrat,0.7222431490724174
0,1976,CA,33,Del Clawson,republican,0.44921913339684194
0,1976,CA,34,Mark W. Hannaford,democrat,0.5071333517463028
0,1976,CA,35,Jim Lloyd,democrat,0.5325961872172531
0,1976,CA,36,"George E. Brown, Jr.",democrat,0.6478694417894691
0,1976,CA,37,Shirley N. Pettis,republican,0.26838027976239354
0,1976,CA,38,Jerry Patterson,democrat,0.6361531688514799
0,1976,CA,39,Charles E. Wiggins,republican,0.41425105777404225
0,1976,CA,40,Robert E. Badham,republican,0.40747833580696124
0,1976,CA,41,Bob C. Wilson,republican,0.42346020575357923
0,1976,CA,42,Lionel Van Deerlin,democrat,0.7598929416709063
0,1976,CA,43,Clair W. Burgener,republican,0.35002677391209913
0,1976,CO,1,Patricia Schroeder,democrat,0.5354768970122804
0,1976,CO,2,Timothy E. Wirth,democrat,0.5049983768801138
0,1976,CO,3,Frank E. Evans,democrat,0.5203563749511995
0,1976,CO,4,James P. (Jim) Johnson,republican,0.39192580413635836
0,1976,CO,5,William L. Armstrong,republican,0.33569119365368794
0,1976,CT,1,William R. Cotter,democrat,0.5772131994518948
0,1976,CT,2,Christopher J. Dodd,democrat,0.6562386456143902
0,1976,CT,3,Robert N. Giaimo,democrat,0.5570425534838346
0,1976,CT,4,Stewart B. McKinney,republican,0.3778738745838176
0,1976,CT,5,Ronald A. Sarasin,republican,0.3299291131245279
0,1976,CT,6,Anthony Toby Moffett,democrat,0.5685904297912153
0,1976,DE,0,"Thomas B. Evans, Jr.",republican,0.480696747666008
0,1976,FL,1,Robert L. F. Sikes,democrat,1.0
0,1976,FL,2,Don Fuqua,democrat,1.0
0,1976,FL,3,Charles E. Bennett,democrat,1.0
0,1976,FL,4,"Bill Chappell, Jr.",democrat,1.0
0,1976,FL,5,Richard Kelly,republican,0.41026121867954357
0,1976,FL,6,C. W. Bill Young,republican,0.34807831449834614
0,1976,FL,7,Sam Gibbons,democrat,0.6571594877764843
0,1976,FL,8,Andy Ireland,democrat,0.5801722105594037
0,1976,FL,9,"Louis Frey, Jr.",republican,0.21915890366700774
0,1976,FL,10,L. A. (Skip) Bafalis,republican,0.3367691351146209
0,1976,FL,11,Paul G. Rogers,democrat,1.0
0,1976,FL,12,J. Herbert Burke,republican,0.4610108684182759
0,1976,FL,13,William Lehman,democrat,0.7833238345620454
0,1976,FL,14,Claude Pepper,democrat,0.7287176367915796
0,1976,FL,15,Dante B. Fascell,democrat,0.7042320577357417
0,1976,GA,1,Bo Ginn,democrat,1.0
0,1976,GA,2,Dawson Mathis,democrat,1.0
0,1976,GA,3,Jack Brinkley,democrat,0.887346075826405
0,1976,GA,4,Elliott H. Levitas,democrat,0.6831494228660293
0,1976,GA,5,Andrew Young,democrat,0.6668055034917462
0,1976,GA,6,"John J. Flynt, Jr.",democrat,0.5171144252060934
0,1976,GA,7,Larry P. McDonald,democrat,0.5509333437544779
0,1976,GA,8,Bill Lee Evans,democrat,0.6956338049807193
0,1976,GA,9,Ed Jenkins,democrat,0.7908225616100671
0,1976,GA,10,Doug Barnard,democrat,1.0
0,1976,HI,1,Cecil L. Heftel,democrat,0.5277033261566852
0,1976,HI,2,Daniel K. Akaka,democrat,0.8384346733498612
0,1976,IA,1,James A. S. Leach,republican,0.47942748127829615
0,1976,IA,2,Michael T. Blouin,democrat,0.5064822647596939
0,1976,IA,3,Charles E. Grassley,republican,0.43544496453493375
0,1976,IA,4,Neal Smith,democrat,0.6909382190191865
0,1976,IA,5,Tom Harkin,democrat,0.6551452576856366
0,1976,IA,6,Berkley Bedell,democrat,0.6818574150021195
0,1976,ID,1,Steven D. Symms,republican,0.4539274623208639
0,1976,ID,2,George Hansen,republican,0.49417710261279235
0,1976,IL,1,Ralph H. Metcalfe,democrat,0.9258146352875807
0,1976,IL,2,Morgan F. Murphy,democrat,0.8467612117019436
0,1976,IL,3,Martin A. Russo,democrat,0.5926983720035893
0,1976,IL,4,Edward Derwinski,republican,0.3421176049027512
0,1976,IL,5,John G. Fary,democrat,0.7694529698501534
0,1976,IL,6,HenryJ. Hyde,republican,0.39402701873586854
0,1976,IL,7,Cardiss Collins,democrat,0.8476938891183845
0,1976,IL,8,Daniel D. Rostenkowski,democrat,0.8054108476282731
0,1976,IL,9,Sidney R. Yates,democrat,0.7215228828956791
0,1976,IL,10,Abner J. Mikva,democrat,0.5004709311315936
0,1976,IL,11,Frank Annunzio,democrat,0.6739394842008588
0,1976,IL,12,Philip M. Crane,republican,0.2716178438019977
0,1976,IL,13,Robert McClory,republican,0.31207563494103563
0,1976,IL,14,John Erlenborn,republican,0.25574750296938464
0,1976,IL,15,Tom Corcoran,republican,0.4608922835920539
0,1976,IL,16,John B. Anderson,republican,0.32081793662298164
0,1976,IL,17,George M. O'Brien,republican,0.4178735883518123
0,1976,IL,18,Robert H. Michel,republican,0.4227114839950836
0,1976,IL,19,Tom Railsback,republican,0.3150130723682171
0,1976,IL,20,Paul Findley,republican,0.36428746809230184
0,1976,IL,21,Edward R. Madigan,republican,0.2553672439182103
0,1976,IL,22,George E. Shipley,democrat,0.6143307543428329
0,1976,IL,23,Melvin Price,democrat,0.7862683965680197
0,1976,IL,24,Paul Simon,democrat,0.673760559019946
0,1976,IN,1,"Adam Benjamin, Jr.",democrat,0.713049773116514
0,1976,IN,2,Floyd J. Fithian,democrat,0.5516175629156466
0,1976,IN,3,John Brademas,democrat,0.5689966512179169
0,1976,IN,4,J. Danforth Quayle,republican,0.4505386925551822
0,1976,IN,5,Elwood Hillis,republican,0.3825563953573041
0,1976,IN,6,David W. Evans,democrat,0.5491078613070857
0,1976,IN,7,John T. Myers,republican,0.373046875
0,1976,IN,8,David L. Cornwell,democrat,0.5046290724264672
0,1976,IN,9,Lee H. Hamilton,democrat,1.0
0,1976,IN,10,Philip R. Sharp,democrat,0.5983786804840976
0,1976,IN,11,"Andrew Jacobs, Jr.",democrat,0.6076581866991044
0,1976,KS,1,Keith G. Sebelius,republican,0.2693381937670073
0,1976,KS,2,Martha Keys,democrat,0.5166063488178284
0,1976,KS,3,"Larry Winn, Jr.",republican,0.29660534584035336
0,1976,KS,4,Dan Glickman,democrat,0.5091436356338928
0,1976,KS,5,Joe Skubitz,republican,0.3735571398352324
0,1976,KY,1,"Carroll Hubbard, Jr.",democrat,0.8200448353164339
0,1976,KY,2,William H. Natcher,democrat,0.6035625897522076
0,1976,KY,3,Romano L. Mazzoli,democrat,0.5811356170811826
0,1976,KY,4,Gene Snyder,republican,0.44130726295400624
0,1976,KY,5,Tim Lee Carter,republican,0.3289850802239306
0,1976,KY,6,John B. Breckinridge,democrat,1.0
0,1976,KY,7,Carl D. Perkins,democrat,0.732276521404751
0,1976,LA,1,Richard A. Tonry,democrat,0.5210130903989656
0,1976,LA,2,Lindy (Mrs. Hale) Boggs,democrat,1.0
0,1976,LA,3,David C. Treen,republican,0.2668762553488778
0,1976,LA,4,"Joe D. Waggonner, Jr.",democrat,1.0
0,1976,LA,5,Jerry Huckaby,democrat,0.5254975827211653
0,1976,LA,6,W. Henson Moore,republican,0.34780903576657607
0,1976,LA,7,John B. Breaux,democrat,0.8334826825972548
0,1976,LA,8,Gillis W. Long,democrat,1.0
0,1976,MA,1,Silvio O. Conte,republican,0.36222913085580055
0,1976,MA,2,Edward P. Boland,democrat,0.7638076728551864
0,1976,MA,3,Joseph D. Early,democrat,1.0
0,1976,MA,4,Robert F. Drinan,democrat,0.5207453652957156
0,1976,MA,5,Paul E. Tsongas,democrat,0.6731154289554871
0,1976,MA,6,Michael Harrington,democrat,0.5701327755291558
0,1976,MA,7,Edward J. Markey,democrat,0.8139304881293645
0,1976,MA,8,"Thomas P. O'Neil, Jr.",democrat,0.7992591614235628
0,1976,MA,9,Joe Moakley,democrat,0.7504694903501675
0,1976,MA,10,Margaret M. Heckler,republican,0.0
0,1976,MA,11,James A. Burke,democrat,1.0
0,1976,MA,12,Gerry E. Studds,democrat,1.0
0,1976,MD,1,Robert E. Bauman,republican,0.45932969190495365
0,1976,MD,2,Clarence D. Long,democrat,0.797895147144806
